arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
cleanlab/multiannotator.py,funcao,get_active_learning_scores,8,14,12,21,22,33,77.303,147.1612,6.0,882.9675,49.0537,0.0491
cleanlab/multiannotator.py,funcao,get_active_learning_scores_ensemble,8,14,12,21,22,33,77.303,147.1612,6.0,882.9675,49.0537,0.0491
cleanlab/multiannotator.py,funcao,get_majority_vote_label,7,35,29,50,42,79,199.1764,425.9931,5.0,2129.9654,118.3314,0.142
cleanlab/multiannotator.py,funcao,convert_long_to_wide_dataset,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/multiannotator.py,funcao,_get_consensus_stats,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/multiannotator.py,funcao,_get_annotator_stats,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
cleanlab/multiannotator.py,funcao,_get_annotator_agreement_with_consensus,4,6,4,7,10,11,23.5098,36.5412,2.3333,85.2628,4.7368,0.0122
cleanlab/multiannotator.py,funcao,_get_annotator_agreement_with_annotators,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
cleanlab/multiannotator.py,funcao,_get_single_annotator_agreement,5,11,8,16,16,24,49.6634,96.0,3.6364,349.0909,19.3939,0.032
cleanlab/multiannotator.py,funcao,_get_post_pred_probs_and_weights,8,39,28,52,47,80,230.1307,444.3671,5.3333,2369.9579,131.6643,0.1481
cleanlab/multiannotator.py,funcao,_get_post_pred_probs_and_weights_ensemble,7,22,16,31,29,47,117.759,228.3251,4.9318,1126.0579,62.5588,0.0761
cleanlab/multiannotator.py,funcao,_get_consensus_quality_score,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
cleanlab/multiannotator.py,funcao,_get_annotator_label_quality_score,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
cleanlab/multiannotator.py,funcao,_get_annotator_quality,8,30,20,37,38,57,171.2067,299.1319,4.9333,1475.7172,81.9843,0.0997
cleanlab/multiannotator.py,funcao,_get_annotator_worst_class,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/multiannotator.py,funcao,_get_single_annotator_worst_class,1,11,6,12,12,18,38.0537,64.5293,0.5455,35.1978,1.9554,0.0215
cleanlab/outlier.py,funcao,__init__,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
cleanlab/outlier.py,funcao,fit_score,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/outlier.py,funcao,fit,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/outlier.py,funcao,score,3,7,5,10,10,15,24.4064,49.8289,2.1429,106.7763,5.932,0.0166
cleanlab/outlier.py,funcao,_get_params,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/outlier.py,funcao,_assert_valid_params,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
cleanlab/outlier.py,funcao,_assert_valid_inputs,4,11,9,18,15,27,46.0537,105.486,3.2727,345.2271,19.1793,0.0352
cleanlab/outlier.py,funcao,_shared_fit,2,6,5,10,8,15,17.5098,45.0,1.6667,75.0,4.1667,0.015
cleanlab/outlier.py,funcao,_get_ood_features_scores,6,12,9,17,18,26,58.5293,108.4181,4.25,460.7767,25.5987,0.0361
cleanlab/outlier.py,funcao,_get_ood_predictions_scores,12,23,19,36,35,55,147.0615,282.1106,9.3913,2649.3862,147.1881,0.094
cleanlab/rank.py,funcao,get_label_quality_scores,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/rank.py,funcao,_compute_label_quality_scores,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/rank.py,funcao,get_label_quality_ensemble_scores,8,33,25,49,41,74,190.465,396.4588,5.9394,2354.7253,130.8181,0.1322
cleanlab/rank.py,funcao,find_top_issues,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
