arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
cleanlab/datalab/internal/issue_manager/duplicate.py,228,101,146,12,26,44,12
cleanlab/internal/validation.py,212,131,150,9,31,28,3
cleanlab/segmentation/summary.py,356,128,150,13,122,74,10
cleanlab/token_classification/summary.py,345,121,151,0,138,56,0
cleanlab/datalab/datalab.py,623,127,163,6,324,128,8
cleanlab/datalab/internal/issue_manager/issue_manager.py,330,146,164,6,106,54,6
cleanlab/datalab/internal/issue_manager/label.py,273,114,172,10,47,45,9
cleanlab/internal/multilabel_scorer.py,652,145,178,5,342,127,5
cleanlab/multilabel_classification/dataset.py,326,96,179,2,101,46,0
cleanlab/rank.py,582,130,216,32,219,122,25
cleanlab/datalab/internal/data.py,431,206,217,8,120,83,11
cleanlab/datalab/internal/data_issues.py,413,164,218,8,125,65,5
cleanlab/dataset.py,514,104,224,12,213,74,3
cleanlab/experimental/mnist_pytorch.py,369,182,232,32,70,45,22
cleanlab/datalab/internal/issue_manager/outlier.py,301,148,234,23,8,41,18
cleanlab/benchmarking/noise_generation.py,486,131,236,49,139,74,37
cleanlab/datalab/internal/issue_manager/noniid.py,446,167,240,18,109,83,14
cleanlab/datalab/internal/issue_manager/underperforming_group.py,345,145,254,5,50,36,5
cleanlab/internal/multiannotator_utils.py,352,183,260,20,15,58,19
cleanlab/datalab/internal/issue_finder.py,489,173,272,27,103,87,27
cleanlab/internal/util.py,616,268,275,41,187,125,29
cleanlab/object_detection/filter.py,405,191,276,1,73,53,3
cleanlab/outlier.py,582,158,286,32,193,86,17
cleanlab/datalab/internal/adapter/imagelab.py,430,199,304,12,50,65,11
cleanlab/object_detection/summary.py,757,268,370,7,226,155,6
cleanlab/experimental/label_issues_batched.py,760,296,404,33,251,89,16
cleanlab/regression/learn.py,871,303,440,23,276,139,16
cleanlab/filter.py,952,306,501,75,258,134,59
cleanlab/classification.py,1062,336,529,39,380,128,25
cleanlab/count.py,1489,272,543,60,652,241,53
cleanlab/object_detection/rank.py,1110,358,654,17,240,187,29
cleanlab/multiannotator.py,1923,539,1071,72,516,268,68
TOTAL,25623,8369,12418,1083,8021,4255,929
