arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
cleanlab/datalab/internal/spurious_correlation.py,method,SpuriousCorrelations,_get_baseline,A,1,48,51
cleanlab/datalab/internal/spurious_correlation.py,method,SpuriousCorrelations,calculate_spurious_correlation,A,1,53,74
cleanlab/datalab/internal/task.py,method,Task,__str__,A,1,35,42
cleanlab/datalab/internal/task.py,method,Task,is_classification,A,1,79,94
cleanlab/datalab/internal/task.py,method,Task,is_regression,A,1,97,112
cleanlab/datalab/internal/task.py,method,Task,is_multilabel,A,1,115,130
cleanlab/datalab/internal/adapter/imagelab.py,method,ImagelabDataIssuesAdapter,__init__,A,1,90,91
cleanlab/datalab/internal/adapter/imagelab.py,method,CorrelationVisualizer,visualize,A,1,174,181
cleanlab/datalab/internal/adapter/imagelab.py,method,CorrelationReporter,_print_correlation_summary,A,1,220,224
cleanlab/datalab/internal/adapter/imagelab.py,method,CorrelationReporter,_get_filtered_correlated_properties,A,1,254,262
cleanlab/datalab/internal/adapter/imagelab.py,method,ImagelabReporterAdapter,_report_imagelab,A,1,300,307
cleanlab/datalab/internal/adapter/imagelab.py,method,ImagelabIssueFinderAdapter,__init__,A,1,312,314
cleanlab/datalab/internal/issue_manager/data_valuation.py,method,DataValuationIssueManager,collect_info,A,1,150,170
cleanlab/datalab/internal/issue_manager/duplicate.py,method,NearDuplicateIssueManager,__init__,A,1,38,50
cleanlab/datalab/internal/issue_manager/duplicate.py,method,NearDuplicateIssueManager,find_issues,A,1,52,86
cleanlab/datalab/internal/issue_manager/duplicate.py,method,NearDuplicateIssueManager,collect_info,A,1,122,152
cleanlab/datalab/internal/issue_manager/imbalance.py,method,ClassImbalanceIssueManager,__init__,A,1,37,39
cleanlab/datalab/internal/issue_manager/imbalance.py,method,ClassImbalanceIssueManager,collect_info,A,1,71,78
cleanlab/datalab/internal/issue_manager/issue_manager.py,method,IssueManager,__init__,A,1,129,133
cleanlab/datalab/internal/issue_manager/issue_manager.py,method,IssueManager,__repr__,A,1,135,137
cleanlab/datalab/internal/issue_manager/issue_manager.py,method,IssueManager,find_issues,A,1,149,154
cleanlab/datalab/internal/issue_manager/issue_manager.py,method,IssueManager,collect_info,A,1,156,164
cleanlab/datalab/internal/issue_manager/knn_graph_helpers.py,function,,num_neighbors_in_knn_graph,A,1,15,17
cleanlab/datalab/internal/issue_manager/knn_graph_helpers.py,function,,knn_exists,A,1,41,44
cleanlab/datalab/internal/issue_manager/label.py,method,LabelIssueManager,get_health_summary,A,1,187,196
cleanlab/datalab/internal/issue_manager/label.py,method,LabelIssueManager,_validate_pred_probs,A,1,272,273
cleanlab/datalab/internal/issue_manager/noniid.py,function,,simplified_kolmogorov_smirnov_test,A,1,19,57
cleanlab/datalab/internal/issue_manager/noniid.py,method,NonIIDIssueManager,__init__,A,1,103,126
cleanlab/datalab/internal/issue_manager/noniid.py,method,NonIIDIssueManager,collect_info,A,1,227,244
cleanlab/datalab/internal/issue_manager/noniid.py,method,NonIIDIssueManager,_score_dataset,A,1,301,415
cleanlab/datalab/internal/issue_manager/noniid.py,method,NonIIDIssueManager,_get_neighbors,A,1,417,424
